Gene	Length	Isolate
V1_KAA8626001.1	48	V1
V1_KAA8626007.1	130	V1
V1_KAA8626018.1	250	V1
V1_KAA8626022.1	53	V1
V1_KAA8626033.1	129	V1
V1_KAA8626048.1	203	V1
V1_KAA8626094.1	159	V1
V1_KAA8626119.1	106	V1
V1_KAA8626125.1	89	V1
V1_KAA8626181.1	221	V1
V1_KAA8626199.1	174	V1
V1_KAA8626256.1	127	V1
V1_KAA8626286.1	58	V1
V1_KAA8626317.1	74	V1
V1_KAA8626424.1	315	V1
V1_KAA8626441.1	74	V1
V1_KAA8626489.1	95	V1
V1_KAA8626506.1	187	V1
V1_KAA8626529.1	114	V1
V1_KAA8626530.1	93	V1
V1_KAA8626541.1	42	V1
V1_KAA8626543.1	159	V1
V1_KAA8626557.1	107	V1
V1_KAA8626680.1	369	V1
V1_KAA8626692.1	245	V1
V1_KAA8626735.1	324	V1
V1_KAA8626751.1	304	V1
V1_KAA8626764.1	222	V1
V1_KAA8626788.1	60	V1
V1_KAA8626877.1	95	V1
V1_KAA8626881.1	231	V1
V1_KAA8626916.1	256	V1
V1_KAA8626931.1	172	V1
V1_KAA8626962.1	98	V1
V1_KAA8626985.1	119	V1
V1_KAA8626999.1	43	V1
V1_KAA8627106.1	282	V1
V1_KAA8627206.1	172	V1
V1_KAA8627242.1	420	V1
V1_KAA8627275.1	226	V1
V1_KAA8627369.1	207	V1
V1_KAA8627440.1	203	V1
V1_KAA8627448.1	144	V1
V1_KAA8627455.1	180	V1
V1_KAA8627461.1	117	V1
V1_KAA8627474.1	417	V1
V1_KAA8627533.1	120	V1
V1_KAA8627539.1	404	V1
V1_KAA8627557.1	263	V1
V1_KAA8627598.1	116	V1
V1_KAA8627607.1	183	V1
V1_KAA8627619.1	458	V1
V1_KAA8627623.1	259	V1
V1_KAA8627663.1	190	V1
V1_KAA8627679.1	158	V1
V1_KAA8627699.1	89	V1
V1_KAA8627727.1	135	V1
V1_KAA8627733.1	89	V1
V1_KAA8627737.1	218	V1
V1_KAA8627744.1	242	V1
V1_KAA8627754.1	163	V1
BFP_XP_001930334.1	478	BFP
BFP_XP_001930339.1	208	BFP
BFP_XP_001930384.1	158	BFP
BFP_XP_001930385.1	242	BFP
BFP_XP_001930394.1	228	BFP
BFP_XP_001930456.1	164	BFP
BFP_XP_001930520.1	154	BFP
BFP_XP_001930535.1	237	BFP
BFP_XP_001930537.1	235	BFP
BFP_XP_001930615.1	317	BFP
BFP_XP_001930617.1	367	BFP
BFP_XP_001930654.1	228	BFP
BFP_XP_001930811.1	132	BFP
BFP_XP_001930812.1	128	BFP
BFP_XP_001930850.1	385	BFP
BFP_XP_001930852.1	97	BFP
BFP_XP_001930873.1	258	BFP
BFP_XP_001930891.1	79	BFP
BFP_XP_001931003.1	353	BFP
BFP_XP_001931041.1	258	BFP
BFP_XP_001931056.1	183	BFP
BFP_XP_001931118.1	267	BFP
BFP_XP_001931260.1	190	BFP
BFP_XP_001931268.1	53	BFP
BFP_XP_001931309.1	123	BFP
BFP_XP_001931371.1	291	BFP
BFP_XP_001931382.1	147	BFP
BFP_XP_001931450.1	74	BFP
BFP_XP_001931524.1	145	BFP
BFP_XP_001931573.1	174	BFP
BFP_XP_001931672.1	129	BFP
BFP_XP_001931687.1	130	BFP
BFP_XP_001931701.1	210	BFP
BFP_XP_001931704.1	53	BFP
BFP_XP_001931715.1	200	BFP
BFP_XP_001931770.1	177	BFP
BFP_XP_001931792.1	392	BFP
BFP_XP_001931796.1	100	BFP
BFP_XP_001931802.1	89	BFP
BFP_XP_001931871.1	174	BFP
BFP_XP_001931950.1	58	BFP
BFP_XP_001931968.1	145	BFP
BFP_XP_001932062.1	315	BFP
BFP_XP_001932136.1	187	BFP
BFP_XP_001932156.1	132	BFP
BFP_XP_001932186.1	107	BFP
BFP_XP_001932208.1	332	BFP
BFP_XP_001932256.1	77	BFP
BFP_XP_001932270.1	236	BFP
BFP_XP_001932306.1	369	BFP
BFP_XP_001932318.1	245	BFP
BFP_XP_001932362.1	295	BFP
BFP_XP_001932379.1	357	BFP
BFP_XP_001932393.1	222	BFP
BFP_XP_001932484.1	95	BFP
BFP_XP_001932525.1	256	BFP
BFP_XP_001932571.1	215	BFP
BFP_XP_001932574.1	98	BFP
BFP_XP_001932625.1	357	BFP
BFP_XP_001932653.1	121	BFP
BFP_XP_001932654.1	171	BFP
BFP_XP_001932697.1	241	BFP
BFP_XP_001932789.1	89	BFP
BFP_XP_001932848.1	135	BFP
BFP_XP_001932870.1	191	BFP
BFP_XP_001932923.1	278	BFP
BFP_XP_001932939.1	90	BFP
BFP_XP_001932972.1	206	BFP
BFP_XP_001933026.1	120	BFP
BFP_XP_001933091.1	179	BFP
BFP_XP_001933129.1	212	BFP
BFP_XP_001933192.1	162	BFP
BFP_XP_001933229.1	394	BFP
BFP_XP_001933274.1	322	BFP
BFP_XP_001933276.1	208	BFP
BFP_XP_001933402.1	153	BFP
BFP_XP_001933412.1	166	BFP
BFP_XP_001933417.1	313	BFP
BFP_XP_001933440.1	138	BFP
BFP_XP_001933503.1	257	BFP
BFP_XP_001933504.1	178	BFP
BFP_XP_001933593.1	196	BFP
BFP_XP_001933725.1	336	BFP
BFP_XP_001933757.1	128	BFP
BFP_XP_001933780.1	64	BFP
BFP_XP_001933849.1	131	BFP
BFP_XP_001933874.1	195	BFP
BFP_XP_001933877.1	288	BFP
BFP_XP_001933903.1	231	BFP
BFP_XP_001933926.1	97	BFP
BFP_XP_001933987.1	229	BFP
BFP_XP_001934080.1	314	BFP
BFP_XP_001934090.1	422	BFP
BFP_XP_001934131.1	219	BFP
BFP_XP_001934166.1	154	BFP
BFP_XP_001934246.1	69	BFP
BFP_XP_001934252.1	378	BFP
BFP_XP_001934293.1	309	BFP
BFP_XP_001934325.1	85	BFP
BFP_XP_001934357.1	251	BFP
BFP_XP_001934358.1	318	BFP
BFP_XP_001934371.1	144	BFP
BFP_XP_001934383.1	413	BFP
BFP_XP_001934394.1	94	BFP
BFP_XP_001934395.1	85	BFP
BFP_XP_001934397.1	247	BFP
BFP_XP_001934444.1	155	BFP
BFP_XP_001934482.1	98	BFP
BFP_XP_001934546.1	170	BFP
BFP_XP_001934583.1	169	BFP
BFP_XP_001934627.1	295	BFP
BFP_XP_001934680.1	253	BFP
BFP_XP_001934748.1	317	BFP
BFP_XP_001934749.1	192	BFP
BFP_XP_001934771.1	131	BFP
BFP_XP_001934776.1	252	BFP
BFP_XP_001934809.1	129	BFP
BFP_XP_001934822.1	136	BFP
BFP_XP_001934826.1	194	BFP
BFP_XP_001934844.1	56	BFP
BFP_XP_001934883.1	270	BFP
BFP_XP_001934900.1	112	BFP
BFP_XP_001934905.1	115	BFP
BFP_XP_001934978.1	108	BFP
BFP_XP_001934987.1	199	BFP
BFP_XP_001935010.1	137	BFP
BFP_XP_001935011.1	126	BFP
BFP_XP_001935030.1	269	BFP
BFP_XP_001935037.1	90	BFP
BFP_XP_001935063.1	454	BFP
BFP_XP_001935081.1	69	BFP
BFP_XP_001935162.1	227	BFP
BFP_XP_001935168.1	98	BFP
BFP_XP_001935182.1	631	BFP
BFP_XP_001935183.1	162	BFP
BFP_XP_001935203.1	72	BFP
BFP_XP_001935234.1	164	BFP
BFP_XP_001935274.1	309	BFP
BFP_XP_001935278.1	278	BFP
BFP_XP_001935303.1	72	BFP
BFP_XP_001935312.1	177	BFP
BFP_XP_001935345.1	117	BFP
BFP_XP_001935353.1	84	BFP
BFP_XP_001935360.1	208	BFP
BFP_XP_001935370.1	129	BFP
BFP_XP_001935377.1	222	BFP
BFP_XP_001935402.1	94	BFP
BFP_XP_001935419.1	398	BFP
BFP_XP_001935428.1	94	BFP
BFP_XP_001935460.1	94	BFP
BFP_XP_001935471.1	241	BFP
BFP_XP_001935484.1	106	BFP
BFP_XP_001935536.1	129	BFP
BFP_XP_001935568.1	351	BFP
BFP_XP_001935617.1	158	BFP
BFP_XP_001935621.1	226	BFP
BFP_XP_001935634.1	297	BFP
BFP_XP_001935666.1	89	BFP
BFP_XP_001935712.1	218	BFP
BFP_XP_001935754.1	175	BFP
BFP_XP_001935758.1	402	BFP
BFP_XP_001935784.1	85	BFP
BFP_XP_001935843.1	248	BFP
BFP_XP_001935844.1	196	BFP
BFP_XP_001935864.1	136	BFP
BFP_XP_001935878.1	166	BFP
BFP_XP_001935895.1	156	BFP
BFP_XP_001935920.1	156	BFP
BFP_XP_001935926.1	258	BFP
BFP_XP_001935990.1	192	BFP
BFP_XP_001935991.1	109	BFP
BFP_XP_001935992.1	249	BFP
BFP_XP_001936021.1	277	BFP
BFP_XP_001936091.1	203	BFP
BFP_XP_001936110.1	108	BFP
BFP_XP_001936143.1	67	BFP
BFP_XP_001936187.1	278	BFP
BFP_XP_001936218.1	130	BFP
BFP_XP_001936221.1	248	BFP
BFP_XP_001936244.1	297	BFP
BFP_XP_001936259.1	292	BFP
BFP_XP_001936273.1	238	BFP
BFP_XP_001936282.1	211	BFP
BFP_XP_001936332.1	76	BFP
BFP_XP_001936377.1	79	BFP
BFP_XP_001936474.1	228	BFP
BFP_XP_001936508.1	270	BFP
BFP_XP_001936511.1	211	BFP
BFP_XP_001936553.1	185	BFP
BFP_XP_001936564.1	130	BFP
BFP_XP_001936606.1	358	BFP
BFP_XP_001936607.1	238	BFP
BFP_XP_001936652.1	244	BFP
BFP_XP_001936791.1	518	BFP
BFP_XP_001936817.1	283	BFP
BFP_XP_001936838.1	294	BFP
BFP_XP_001936846.1	227	BFP
BFP_XP_001936850.1	103	BFP
BFP_XP_001936892.1	267	BFP
BFP_XP_001936921.1	127	BFP
BFP_XP_001936922.1	204	BFP
BFP_XP_001936936.1	363	BFP
BFP_XP_001936989.1	108	BFP
BFP_XP_001937123.1	151	BFP
BFP_XP_001937148.1	169	BFP
BFP_XP_001937216.1	251	BFP
BFP_XP_001937223.1	214	BFP
BFP_XP_001937246.1	245	BFP
BFP_XP_001937257.1	160	BFP
BFP_XP_001937259.1	129	BFP
BFP_XP_001937277.1	501	BFP
BFP_XP_001937308.1	131	BFP
BFP_XP_001937333.1	68	BFP
BFP_XP_001937369.1	303	BFP
BFP_XP_001937391.1	121	BFP
BFP_XP_001937399.1	77	BFP
BFP_XP_001937410.1	340	BFP
BFP_XP_001937456.1	351	BFP
BFP_XP_001937603.1	87	BFP
BFP_XP_001937624.1	274	BFP
BFP_XP_001937749.1	107	BFP
BFP_XP_001937765.1	225	BFP
BFP_XP_001937798.1	157	BFP
BFP_XP_001937817.1	230	BFP
BFP_XP_001937842.1	73	BFP
BFP_XP_001937847.1	127	BFP
BFP_XP_001937894.1	206	BFP
BFP_XP_001937967.1	135	BFP
BFP_XP_001938047.1	137	BFP
BFP_XP_001938132.1	246	BFP
BFP_XP_001938170.1	112	BFP
BFP_XP_001938191.1	85	BFP
BFP_XP_001938252.1	147	BFP
BFP_XP_001938268.1	163	BFP
BFP_XP_001938353.1	244	BFP
BFP_XP_001938359.1	90	BFP
BFP_XP_001938454.1	326	BFP
BFP_XP_001938470.1	117	BFP
BFP_XP_001938491.1	156	BFP
BFP_XP_001938528.1	268	BFP
BFP_XP_001938653.1	134	BFP
BFP_XP_001938701.1	418	BFP
BFP_XP_001938769.1	310	BFP
BFP_XP_001938802.1	72	BFP
BFP_XP_001938821.1	510	BFP
BFP_XP_001938843.1	358	BFP
BFP_XP_001938904.1	86	BFP
BFP_XP_001938968.1	59	BFP
BFP_XP_001939017.1	408	BFP
BFP_XP_001939130.1	207	BFP
BFP_XP_001939155.1	480	BFP
BFP_XP_001939205.1	227	BFP
BFP_XP_001939229.1	417	BFP
BFP_XP_001939296.1	404	BFP
BFP_XP_001939311.1	263	BFP
BFP_XP_001939369.1	458	BFP
BFP_XP_001939409.1	189	BFP
BFP_XP_001939423.1	179	BFP
BFP_XP_001939441.1	91	BFP
BFP_XP_001939465.1	135	BFP
BFP_XP_001939471.1	104	BFP
BFP_XP_001939475.1	218	BFP
BFP_XP_001939479.1	242	BFP
BFP_XP_001939487.1	163	BFP
BFP_XP_001939558.1	559	BFP
BFP_XP_001939572.1	245	BFP
BFP_XP_001939614.1	96	BFP
BFP_XP_001939640.1	162	BFP
BFP_XP_001939683.1	76	BFP
BFP_XP_001939684.1	161	BFP
BFP_XP_001939688.1	157	BFP
BFP_XP_001939692.1	238	BFP
BFP_XP_001939704.1	161	BFP
BFP_XP_001939712.1	95	BFP
BFP_XP_001939763.1	72	BFP
BFP_XP_001939765.1	124	BFP
BFP_XP_001939790.1	48	BFP
BFP_XP_001939796.1	129	BFP
BFP_XP_001939802.1	72	BFP
BFP_XP_001939847.1	211	BFP
BFP_XP_001939869.1	205	BFP
BFP_XP_001939876.1	211	BFP
BFP_XP_001939901.1	225	BFP
BFP_XP_001939977.1	319	BFP
BFP_XP_001940026.1	170	BFP
BFP_XP_001940040.1	158	BFP
BFP_XP_001940090.1	286	BFP
BFP_XP_001940116.1	327	BFP
BFP_XP_001940215.1	209	BFP
BFP_XP_001940290.1	96	BFP
BFP_XP_001940295.1	606	BFP
BFP_XP_001940296.1	197	BFP
BFP_XP_001940358.1	482	BFP
BFP_XP_001940388.1	185	BFP
BFP_XP_001940411.1	187	BFP
BFP_XP_001940431.1	355	BFP
BFP_XP_001940432.1	291	BFP
BFP_XP_001940433.1	59	BFP
BFP_XP_001940441.1	152	BFP
BFP_XP_001940459.1	118	BFP
BFP_XP_001940470.1	129	BFP
BFP_XP_001940528.1	251	BFP
BFP_XP_001940539.1	221	BFP
BFP_XP_001940574.1	245	BFP
BFP_XP_001940576.1	187	BFP
BFP_XP_001940589.1	60	BFP
BFP_XP_001940597.1	210	BFP
BFP_XP_001940636.1	448	BFP
BFP_XP_001940743.1	349	BFP
BFP_XP_001940832.1	433	BFP
BFP_XP_001940855.1	58	BFP
BFP_XP_001940859.1	179	BFP
BFP_XP_001940898.1	120	BFP
BFP_XP_001940916.1	344	BFP
BFP_XP_001940942.1	82	BFP
BFP_XP_001940943.1	115	BFP
BFP_XP_001940964.1	182	BFP
BFP_XP_001940988.1	171	BFP
BFP_XP_001941012.1	382	BFP
BFP_XP_001941013.1	449	BFP
BFP_XP_001941031.1	375	BFP
BFP_XP_001941044.1	255	BFP
BFP_XP_001941054.1	530	BFP
BFP_XP_001941077.1	152	BFP
BFP_XP_001941119.1	111	BFP
BFP_XP_001941120.1	136	BFP
BFP_XP_001941132.1	74	BFP
BFP_XP_001941154.1	236	BFP
BFP_XP_001941158.1	231	BFP
BFP_XP_001941166.1	121	BFP
BFP_XP_001941178.1	95	BFP
BFP_XP_001941183.1	60	BFP
BFP_XP_001941249.1	406	BFP
BFP_XP_001941282.1	141	BFP
BFP_XP_001941345.1	150	BFP
BFP_XP_001941367.1	134	BFP
BFP_XP_001941386.1	378	BFP
BFP_XP_001941398.1	215	BFP
BFP_XP_001941411.1	135	BFP
BFP_XP_001941419.1	86	BFP
BFP_XP_001941420.1	63	BFP
BFP_XP_001941440.1	288	BFP
BFP_XP_001941454.1	264	BFP
BFP_XP_001941457.1	167	BFP
BFP_XP_001941463.1	251	BFP
BFP_XP_001941488.1	123	BFP
BFP_XP_001941518.1	95	BFP
BFP_XP_001941519.1	384	BFP
BFP_XP_001941544.1	329	BFP
BFP_XP_001941549.1	390	BFP
BFP_XP_001941575.1	120	BFP
BFP_XP_001941592.1	69	BFP
BFP_XP_001941635.1	218	BFP
BFP_XP_001941677.1	92	BFP
BFP_XP_001941692.1	121	BFP
BFP_XP_001941695.1	140	BFP
BFP_XP_001941708.1	75	BFP
BFP_XP_001941710.1	167	BFP
BFP_XP_001941714.1	140	BFP
BFP_XP_001941746.1	544	BFP
BFP_XP_001941747.1	59	BFP
BFP_XP_001941763.1	234	BFP
BFP_XP_001941778.1	215	BFP
BFP_XP_001941785.1	399	BFP
BFP_XP_001941795.1	474	BFP
BFP_XP_001941827.1	109	BFP
BFP_XP_001941845.1	175	BFP
BFP_XP_001941847.1	199	BFP
BFP_XP_001941926.1	282	BFP
BFP_XP_001941965.1	203	BFP
BFP_XP_001942000.1	420	BFP
BFP_XP_001942049.1	273	BFP
BFP_XP_001942102.1	92	BFP
BFP_XP_001942103.1	104	BFP
BFP_XP_001942104.1	92	BFP
BFP_XP_001942207.1	69	BFP
BFP_XP_001942219.1	85	BFP
BFP_XP_001942271.1	211	BFP
BFP_XP_001942326.1	144	BFP
BFP_XP_001942409.1	114	BFP
BFP_XP_001942448.1	191	BFP
BFP_XP_001942469.1	72	BFP
L13-192_00008	273	L13-192
L13-192_00028	172	L13-192
L13-192_00059	420	L13-192
L13-192_00105	203	L13-192
L13-192_00143	282	L13-192
L13-192_00243	119	L13-192
L13-192_00308	256	L13-192
L13-192_00342	95	L13-192
L13-192_00413	103	L13-192
L13-192_00434	222	L13-192
L13-192_00448	357	L13-192
L13-192_00462	324	L13-192
L13-192_00503	245	L13-192
L13-192_00516	373	L13-192
L13-192_00545	589	L13-192
L13-192_00549	236	L13-192
L13-192_00607	332	L13-192
L13-192_00629	107	L13-192
L13-192_00646	42	L13-192
L13-192_00657	114	L13-192
L13-192_00678	187	L13-192
L13-192_00736	62	L13-192
L13-192_00751	315	L13-192
L13-192_00874	58	L13-192
L13-192_00958	174	L13-192
L13-192_01032	89	L13-192
L13-192_01038	106	L13-192
L13-192_01042	392	L13-192
L13-192_01105	203	L13-192
L13-192_01130	53	L13-192
L13-192_01132	250	L13-192
L13-192_01146	130	L13-192
L13-192_01163	129	L13-192
L13-192_01201	208	L13-192
L13-192_01205	106	L13-192
L13-192_01267	173	L13-192
L13-192_01272	32	L13-192
L13-192_01318	145	L13-192
L13-192_01326	174	L13-192
L13-192_01388	130	L13-192
L13-192_01448	147	L13-192
L13-192_01459	291	L13-192
L13-192_01520	123	L13-192
L13-192_01570	146	L13-192
L13-192_01703	267	L13-192
L13-192_01766	183	L13-192
L13-192_01780	258	L13-192
L13-192_01790	330	L13-192
L13-192_01823	353	L13-192
L13-192_01949	258	L13-192
L13-192_01969	99	L13-192
L13-192_01971	385	L13-192
L13-192_02012	128	L13-192
L13-192_02013	136	L13-192
L13-192_02140	185	L13-192
L13-192_02141	172	L13-192
L13-192_02168	228	L13-192
L13-192_02203	367	L13-192
L13-192_02206	317	L13-192
L13-192_02280	235	L13-192
L13-192_02282	237	L13-192
L13-192_02298	154	L13-192
L13-192_02365	164	L13-192
L13-192_02444	252	L13-192
L13-192_02445	158	L13-192
L13-192_02492	208	L13-192
L13-192_02498	496	L13-192
L13-192_02513	199	L13-192
L13-192_02515	156	L13-192
L13-192_02534	109	L13-192
L13-192_02575	399	L13-192
L13-192_02580	92	L13-192
L13-192_02582	215	L13-192
L13-192_02596	234	L13-192
L13-192_02611	35	L13-192
L13-192_02613	565	L13-192
L13-192_02648	167	L13-192
L13-192_02650	81	L13-192
L13-192_02670	121	L13-192
L13-192_02673	140	L13-192
L13-192_02702	96	L13-192
L13-192_02714	158	L13-192
L13-192_02746	171	L13-192
L13-192_02788	241	L13-192
L13-192_02865	108	L13-192
L13-192_02882	174	L13-192
L13-192_02941	135	L13-192
L13-192_02960	191	L13-192
L13-192_03020	278	L13-192
L13-192_03074	206	L13-192
L13-192_03126	120	L13-192
L13-192_03174	453	L13-192
L13-192_03194	104	L13-192
L13-192_03195	86	L13-192
L13-192_03233	212	L13-192
L13-192_03298	162	L13-192
L13-192_03332	394	L13-192
L13-192_03374	322	L13-192
L13-192_03423	191	L13-192
L13-192_03497	153	L13-192
L13-192_03498	93	L13-192
L13-192_03507	166	L13-192
L13-192_03512	313	L13-192
L13-192_03533	138	L13-192
L13-192_03594	147	L13-192
L13-192_03600	257	L13-192
L13-192_03601	178	L13-192
L13-192_03685	196	L13-192
L13-192_03813	323	L13-192
L13-192_03829	134	L13-192
L13-192_03856	78	L13-192
L13-192_03950	390	L13-192
L13-192_03956	402	L13-192
L13-192_03985	384	L13-192
L13-192_04017	123	L13-192
L13-192_04038	243	L13-192
L13-192_04045	167	L13-192
L13-192_04048	264	L13-192
L13-192_04061	288	L13-192
L13-192_04081	86	L13-192
L13-192_04174	129	L13-192
L13-192_04237	251	L13-192
L13-192_04247	221	L13-192
L13-192_04278	245	L13-192
L13-192_04280	187	L13-192
L13-192_04300	210	L13-192
L13-192_04339	448	L13-192
L13-192_04448	349	L13-192
L13-192_04455	234	L13-192
L13-192_04463	123	L13-192
L13-192_04515	412	L13-192
L13-192_04538	179	L13-192
L13-192_04573	231	L13-192
L13-192_04595	344	L13-192
L13-192_04619	82	L13-192
L13-192_04640	182	L13-192
L13-192_04664	164	L13-192
L13-192_04665	171	L13-192
L13-192_04687	382	L13-192
L13-192_04688	449	L13-192
L13-192_04718	255	L13-192
L13-192_04750	308	L13-192
L13-192_04796	133	L13-192
L13-192_04803	355	L13-192
L13-192_04810	187	L13-192
L13-192_04849	185	L13-192
L13-192_04864	50	L13-192
L13-192_04881	482	L13-192
L13-192_04945	197	L13-192
L13-192_04946	592	L13-192
L13-192_04951	96	L13-192
L13-192_05025	209	L13-192
L13-192_05064	574	L13-192
L13-192_05122	331	L13-192
L13-192_05148	286	L13-192
L13-192_05210	96	L13-192
L13-192_05212	210	L13-192
L13-192_05226	252	L13-192
L13-192_05231	131	L13-192
L13-192_05254	192	L13-192
L13-192_05255	317	L13-192
L13-192_05322	118	L13-192
L13-192_05324	253	L13-192
L13-192_05368	295	L13-192
L13-192_05389	93	L13-192
L13-192_05411	169	L13-192
L13-192_05449	170	L13-192
L13-192_05515	98	L13-192
L13-192_05552	155	L13-192
L13-192_05600	247	L13-192
L13-192_05603	91	L13-192
L13-192_05619	489	L13-192
L13-192_05631	144	L13-192
L13-192_05644	326	L13-192
L13-192_05676	85	L13-192
L13-192_05689	134	L13-192
L13-192_05706	309	L13-192
L13-192_05747	378	L13-192
L13-192_05828	154	L13-192
L13-192_05863	219	L13-192
L13-192_05903	314	L13-192
L13-192_05984	445	L13-192
L13-192_05993	229	L13-192
L13-192_06052	97	L13-192
L13-192_06075	219	L13-192
L13-192_06103	195	L13-192
L13-192_06129	131	L13-192
L13-192_06180	44	L13-192
L13-192_06216	128	L13-192
L13-192_06224	99	L13-192
L13-192_06225	192	L13-192
L13-192_06229	136	L13-192
L13-192_06239	257	L13-192
L13-192_06290	133	L13-192
L13-192_06333	96	L13-192
L13-192_06363	190	L13-192
L13-192_06406	161	L13-192
L13-192_06411	157	L13-192
L13-192_06415	238	L13-192
L13-192_06428	161	L13-192
L13-192_06488	121	L13-192
L13-192_06489	124	L13-192
L13-192_06521	129	L13-192
L13-192_06527	89	L13-192
L13-192_06570	211	L13-192
L13-192_06585	67	L13-192
L13-192_06592	205	L13-192
L13-192_06600	227	L13-192
L13-192_06625	225	L13-192
L13-192_06707	319	L13-192
L13-192_06754	408	L13-192
L13-192_06766	158	L13-192
L13-192_06805	136	L13-192
L13-192_06817	74	L13-192
L13-192_06837	236	L13-192
L13-192_06840	231	L13-192
L13-192_06846	114	L13-192
L13-192_06858	95	L13-192
L13-192_06931	406	L13-192
L13-192_06961	189	L13-192
L13-192_07018	150	L13-192
L13-192_07038	134	L13-192
L13-192_07061	374	L13-192
L13-192_07085	160	L13-192
L13-192_07104	328	L13-192
L13-192_07105	97	L13-192
L13-192_07106	293	L13-192
L13-192_07136	228	L13-192
L13-192_07161	96	L13-192
L13-192_07222	162	L13-192
L13-192_07225	201	L13-192
L13-192_07274	270	L13-192
L13-192_07293	115	L13-192
L13-192_07303	80	L13-192
L13-192_07378	199	L13-192
L13-192_07397	156	L13-192
L13-192_07398	126	L13-192
L13-192_07414	273	L13-192
L13-192_07421	90	L13-192
L13-192_07448	454	L13-192
L13-192_07550	227	L13-192
L13-192_07566	307	L13-192
L13-192_07569	631	L13-192
L13-192_07570	162	L13-192
L13-192_07630	278	L13-192
L13-192_07654	72	L13-192
L13-192_07663	177	L13-192
L13-192_07686	89	L13-192
L13-192_07693	79	L13-192
L13-192_07700	208	L13-192
L13-192_07709	129	L13-192
L13-192_07716	393	L13-192
L13-192_07718	222	L13-192
L13-192_07746	88	L13-192
L13-192_07775	398	L13-192
L13-192_07784	99	L13-192
L13-192_07828	241	L13-192
L13-192_07843	106	L13-192
L13-192_07890	146	L13-192
L13-192_07920	413	L13-192
L13-192_07957	248	L13-192
L13-192_07969	339	L13-192
L13-192_07983	278	L13-192
L13-192_07991	202	L13-192
L13-192_08001	342	L13-192
L13-192_08005	352	L13-192
L13-192_08006	60	L13-192
L13-192_08030	230	L13-192
L13-192_08048	157	L13-192
L13-192_08080	238	L13-192
L13-192_08096	107	L13-192
L13-192_08098	373	L13-192
L13-192_08221	227	L13-192
L13-192_08226	274	L13-192
L13-192_08398	351	L13-192
L13-192_08445	340	L13-192
L13-192_08455	98	L13-192
L13-192_08463	121	L13-192
L13-192_08481	303	L13-192
L13-192_08527	43	L13-192
L13-192_08529	176	L13-192
L13-192_08544	131	L13-192
L13-192_08576	501	L13-192
L13-192_08583	167	L13-192
L13-192_08592	245	L13-192
L13-192_08601	160	L13-192
L13-192_08604	138	L13-192
L13-192_08636	214	L13-192
L13-192_08643	232	L13-192
L13-192_08671	191	L13-192
L13-192_08717	147	L13-192
L13-192_08742	280	L13-192
L13-192_08760	215	L13-192
L13-192_08766	53	L13-192
L13-192_08773	297	L13-192
L13-192_08806	66	L13-192
L13-192_08852	218	L13-192
L13-192_08889	194	L13-192
L13-192_08973	248	L13-192
L13-192_08974	196	L13-192
L13-192_08993	136	L13-192
L13-192_09006	166	L13-192
L13-192_09023	131	L13-192
L13-192_09050	258	L13-192
L13-192_09089	176	L13-192
L13-192_09116	249	L13-192
L13-192_09144	277	L13-192
L13-192_09187	220	L13-192
L13-192_09217	203	L13-192
L13-192_09276	104	L13-192
L13-192_09288	161	L13-192
L13-192_09333	278	L13-192
L13-192_09357	130	L13-192
L13-192_09359	244	L13-192
L13-192_09379	297	L13-192
L13-192_09394	292	L13-192
L13-192_09496	157	L13-192
L13-192_09535	156	L13-192
L13-192_09572	268	L13-192
L13-192_09623	137	L13-192
L13-192_09702	145	L13-192
L13-192_09747	418	L13-192
L13-192_09814	310	L13-192
L13-192_09848	72	L13-192
L13-192_09869	510	L13-192
L13-192_10023	148	L13-192
L13-192_10049	408	L13-192
L13-192_10065	618	L13-192
L13-192_10075	81	L13-192
L13-192_10084	69	L13-192
L13-192_10156	169	L13-192
L13-192_10194	244	L13-192
L13-192_10311	58	L13-192
L13-192_10329	518	L13-192
L13-192_10357	441	L13-192
L13-192_10384	227	L13-192
L13-192_10428	267	L13-192
L13-192_10458	127	L13-192
L13-192_10459	191	L13-192
L13-192_10474	361	L13-192
L13-192_10526	108	L13-192
L13-192_10692	187	L13-192
L13-192_10712	189	L13-192
L13-192_10718	122	L13-192
L13-192_10723	122	L13-192
L13-192_10773	226	L13-192
L13-192_10865	207	L13-192
L13-192_10866	81	L13-192
L13-192_10940	203	L13-192
L13-192_10948	227	L13-192
L13-192_10953	368	L13-192
L13-192_10972	417	L13-192
L13-192_11037	404	L13-192
L13-192_11054	263	L13-192
L13-192_11099	188	L13-192
L13-192_11111	458	L13-192
L13-192_11152	189	L13-192
L13-192_11186	91	L13-192
L13-192_11213	135	L13-192
L13-192_11220	218	L13-192
L13-192_11226	242	L13-192
L13-192_11235	163	L13-192
L13-192_11271	399	L13-192
L13-192_11305	559	L13-192
L13-192_11320	245	L13-192
L13-192_11331	114	L13-192
L13-192_11411	135	L13-192
L13-192_11491	137	L13-192
L13-192_11623	112	L13-192
L13-192_11626	43	L13-192
L13-192_11644	85	L13-192
L13-192_11701	147	L13-192
L13-192_11717	132	L13-192
L13-192_11718	163	L13-192
L13-192_11803	244	L13-192
L13-192_11818	76	L13-192
L13-192_11858	344	L13-192
L13-192_11957	228	L13-192
L13-192_11991	270	L13-192
